Kode,Sektor,Nama Perusahaan,Papan Pencatatan
DAAZ,Basic Materials,Daaz Bara Lestari Tbk.,Utama
DADA,Properties & Real Estate,Diamond Citra Propertindo Tbk.,Pengembangan
DART,Properties & Real Estate,Duta Anggada Realty Tbk.,Pengembangan
DATA,Infrastructures,Remala Abadi Tbk.,Pengembangan
DAYA,Consumer Non-Cyclicals,Duta Intidaya Tbk.,Pengembangan
DCII,Technology,DCI Indonesia Tbk.,Pengembangan
DEAL,Transportation & Logistic,Dewata Freightinternational Tb,Pemantauan Khusus
DEFI,Financials,Danasupra Erapacific Tbk.,Pengembangan
DEPO,Consumer Cyclicals,Caturkarda Depo Bangunan Tbk.,Pengembangan
DEWA,Energy,Darma Henwa Tbk,Utama
DEWI,Consumer Non-Cyclicals,Dewi Shri Farmindo Tbk.,Pengembangan
DFAM,Consumer Cyclicals,Dafam Property Indonesia Tbk.,Pengembangan
DGIK,Infrastructures,Nusa Konstruksi Enjiniring Tbk,Pengembangan
DGNS,Healthcare,Diagnos Laboratorium Utama Tbk,Pengembangan
DGWG,Basic Materials,Delta Giri Wacana Tbk.,Utama
DIGI,Consumer Cyclicals,Arkadia Digital Media Tbk.,Pemantauan Khusus
DILD,Properties & Real Estate,Intiland Development Tbk.,Utama
DIVA,Technology,Distribusi Voucher Nusantara T,Pengembangan
DKFT,Basic Materials,Central Omega Resources Tbk.,Utama
DKHH,Healthcare,Cipta Sarana Medika Tbk.,Pengembangan
DLTA,Consumer Non-Cyclicals,Delta Djakarta Tbk.,Utama
DMAS,Properties & Real Estate,Puradelta Lestari Tbk.,Utama
DMMX,Technology,Digital Mediatama Maxima Tbk.,Pengembangan
DMND,Consumer Non-Cyclicals,Diamond Food Indonesia Tbk.,Utama
DNAR,Financials,Bank Oke Indonesia Tbk.,Pengembangan
DNET,Financials,Indoritel Makmur Internasional,Utama
DOID,Energy,BUMA Internasional Grup Tbk.,Pengembangan
DOOH,Consumer Cyclicals,Era Media Sejahtera Tbk.,Pengembangan
DOSS,Consumer Cyclicals,Global Sukses Digital Tbk.,Pengembangan
DPNS,Basic Materials,Duta Pertiwi Nusantara Tbk.,Pemantauan Khusus
DPUM,Consumer Non-Cyclicals,Dua Putra Utama Makmur Tbk.,Pengembangan
DRMA,Consumer Cyclicals,Dharma Polimetal Tbk.,Utama
DSFI,Consumer Non-Cyclicals,Dharma Samudera Fishing Indust,Pengembangan
DSNG,Consumer Non-Cyclicals,Dharma Satya Nusantara Tbk.,Utama
DSSA,Energy,Dian Swastatika Sentosa Tbk,Utama
DUCK,Consumer Cyclicals,Jaya Bersama Indo Tbk.,Pemantauan Khusus
DUTI,Properties & Real Estate,Duta Pertiwi Tbk,Pemantauan Khusus
DVLA,Healthcare,Darya-Varia Laboratoria Tbk.,Pengembangan
DWGL,Energy,Dwi Guna Laksana Tbk.,Pengembangan
DYAN,Industrials,Dyandra Media International Tb,Pengembangan
EAST,Consumer Cyclicals,Eastparc Hotel Tbk.,Pengembangan
ECII,Consumer Cyclicals,Electronic City Indonesia Tbk.,Pengembangan
EDGE,Technology,Indointernet Tbk.,Pemantauan Khusus
EKAD,Basic Materials,Ekadharma International Tbk.,Pengembangan
ELIT,Technology,Data Sinergitama Jaya Tbk.,Pengembangan
ELPI,Transportation & Logistic,Pelayaran Nasional Ekalya Purn,Utama
ELSA,Energy,Elnusa Tbk.,Utama
ELTY,Properties & Real Estate,Bakrieland Development Tbk.,Pemantauan Khusus
EMAS,Basic Materials,Merdeka Gold Resources Tbk.,Pengembangan
EMDE,Properties & Real Estate,Megapolitan Developments Tbk.,Pengembangan
EMMI,Healthcare,Esa Medika Mandiri Tbk.,Pengembangan
EMTK,Technology,Elang Mahkota Teknologi Tbk.,Utama
ENAK,Consumer Cyclicals,Champ Resto Indonesia Tbk.,Pengembangan
ENRG,Energy,Energi Mega Persada Tbk.,Utama
ENVY,Technology,Envy Technologies Indonesia Tb,Pemantauan Khusus
ENZO,Consumer Non-Cyclicals,Morenzo Abadi Perkasa Tbk.,Pengembangan
EPAC,Basic Materials,Megalestari Epack Sentosaraya,Pengembangan
EPMT,Consumer Non-Cyclicals,Enseval Putera Megatrading Tbk,Utama
ERAA,Consumer Cyclicals,Erajaya Swasembada Tbk.,Utama
